Period,States and Territories,SA4 name,SA3 name,SA2 name,ATMs,Bank_post,Branch,Other face-to-face,Total,ATM_prop,Branch_prop,Bank_post_prop,Other_prop
2021-06-30,QLD,Wide Bay,Burnett,Kingaroy Surrounds - North,2,3,1,2,8,0.25,0.125,0.375,0.25
2021-06-30,QLD,Wide Bay,Burnett,Kingaroy Surrounds - South,2,1,1,0,4,0.5,0.25,0.25,0.0
2021-06-30,QLD,Wide Bay,Burnett,Monto - Eidsvold,2,2,3,0,7,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0
2021-06-30,QLD,Wide Bay,Burnett,Nanango,4,2,3,0,9,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.0
2021-06-30,QLD,Wide Bay,Gympie - Cooloola,Cooloola,1,2,1,0,4,0.25,0.25,0.5,0.0
2021-06-30,QLD,Wide Bay,Gympie - Cooloola,Gympie - North,14,1,9,2,26,0.5384615384615384,0.34615384615384615,0.038461538461538464,0.07692307692307693
2021-06-30,QLD,Wide Bay,Gympie - Cooloola,Gympie Surrounds,0,4,0,0,4,0.0,0.0,1.0,0.0
2021-06-30,QLD,Wide Bay,Gympie - Cooloola,Kilkivan,0,2,0,0,2,0.0,0.0,1.0,0.0
2021-06-30,QLD,Wide Bay,Hervey Bay,Pialba - Eli Waters,17,1,9,1,28,0.6071428571428571,0.32142857142857145,0.03571428571428571,0.03571428571428571
2021-06-30,QLD,Wide Bay,Hervey Bay,Torquay - Scarness - Kawungan,1,1,0,0,2,0.5,0.0,0.5,0.0
2021-06-30,QLD,Wide Bay,Hervey Bay,Urangan - Wondunna,1,1,0,0,2,0.5,0.0,0.5,0.0
2021-06-30,QLD,Wide Bay,Maryborough,Burrum - Fraser,1,2,0,0,3,0.3333333333333333,0.0,0.6666666666666666,0.0
2021-06-30,QLD,Wide Bay,Maryborough,Maryborough (Qld),8,2,6,2,18,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.1111111111111111
2021-06-30,QLD,Wide Bay,Maryborough,Maryborough Surrounds - South,0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,QLD,Wide Bay,Maryborough,Tinana,0,1,0,0,1,0.0,0.0,1.0,0.0
2021-06-30,SA,Adelaide - Central and Hills,Adelaide City,Adelaide,60,8,30,9,107,0.5607476635514018,0.2803738317757009,0.07476635514018691,0.08411214953271028
2021-06-30,SA,Adelaide - Central and Hills,Adelaide City,North Adelaide,6,2,2,0,10,0.6,0.2,0.2,0.0
